#ref;type;comment;from;to;operator
2104;bus;;;;KVG Stade GmbH & Co. KG
2105;bus;;;;KVG Stade GmbH & Co. KG

=== Stadtverkehr Stade
2001;bus;;;;KVG Stade GmbH & Co. KG
2002;bus;Baustellenverkehr bis 2020-03-20;;;KVG Stade GmbH & Co. KG
2004;bus;;;;KVG Stade GmbH & Co. KG
2005;bus;;;;KVG Stade GmbH & Co. KG
2006;bus;;;;KVG Stade GmbH & Co. KG
2007;bus;;;;KVG Stade GmbH & Co. KG
2008;bus;;;;KVG Stade GmbH & Co. KG
2021;bus;;;;KVG Stade GmbH & Co. KG

=== RegionalBus
257;bus;;;;KVG Stade GmbH & Co. KG
1705;bus;;;;KVG Stade GmbH & Co. KG
1824;bus;;;;KVG Stade GmbH & Co. KG
2025;bus;;;;KVG Stade GmbH & Co. KG
2026;bus;;;;KVG Stade GmbH & Co. KG
2027;bus;Baustellenverkehr bis 2020-03-31;;;KVG Stade GmbH & Co. KG
2028;bus;Baustellenverkehr bis 2020-03-31;;;KVG Stade GmbH & Co. KG
2030;bus;;;;KVG Stade GmbH & Co. KG
2035;bus;;;;KVG Stade GmbH & Co. KG
2036;bus;;;;KVG Stade GmbH & Co. KG
2038;bus;;;;KVG Stade GmbH & Co. KG
